t,independent_gap,ot_gap
5.000000000000000278e-02,9.684352783745383775e+00,1.238868479743738399e-01
1.000000000000000056e-01,1.032261994425907048e+01,7.982202086184207734e-02
1.499999999999999944e-01,1.071526462603162422e+01,5.461003336761248439e-02
2.000000000000000111e-01,1.063525206520625588e+01,4.064770175535731972e-02
2.500000000000000000e-01,1.005975643926538332e+01,3.400367763721100917e-02
2.999999999999999889e-01,9.175630906619641536e+00,3.135716966232391517e-02
3.499999999999999778e-01,8.035305719334141727e+00,3.122116598047986608e-02
3.999999999999999667e-01,6.617964691621609497e+00,3.184558702845997902e-02
4.499999999999999556e-01,5.330128882761766995e+00,3.252317322549411194e-02
4.999999999999999445e-01,4.222165068416683376e+00,3.310221277684573249e-02
5.499999999999999334e-01,3.387777322527243840e+00,3.402108099121153167e-02
5.999999999999999778e-01,2.659938404331497974e+00,3.488421941539435189e-02
6.500000000000000222e-01,2.042941357703772720e+00,3.581765723192234518e-02
6.999999999999999556e-01,1.595173245527846229e+00,3.674386453815504244e-02
7.500000000000000000e-01,1.486614152461229077e+00,3.794850770484040070e-02
7.999999999999999334e-01,1.625463200148192788e+00,3.918212607801828395e-02
8.499999999999999778e-01,1.827065145108177635e+00,4.079927986813394053e-02
9.000000000000000222e-01,1.960572917259848724e+00,4.281967194174730179e-02
9.499999999999999556e-01,1.993252504020255556e+00,4.503108562786519581e-02
