t,independent_gap,ot_gap
5.000000000000000278e-02,9.690813929477959832e+00,1.238868479743738399e-01
1.000000000000000056e-01,1.035344120513596877e+01,7.982202086184207734e-02
1.499999999999999944e-01,1.093428619145661251e+01,5.461003336761248439e-02
2.000000000000000111e-01,1.094467835235864861e+01,4.064770175535731972e-02
2.500000000000000000e-01,1.037071959847798297e+01,3.400367763721100917e-02
2.999999999999999889e-01,9.448113719309294112e+00,3.135716966232391517e-02
3.499999999999999778e-01,8.046981998177216155e+00,3.122116598047986608e-02
3.999999999999999667e-01,6.646838744085338035e+00,3.184558702845997902e-02
4.499999999999999556e-01,5.332920029346458257e+00,3.252317322549411194e-02
4.999999999999999445e-01,4.199347637463551663e+00,3.310221277684573249e-02
5.499999999999999334e-01,3.323033420593309195e+00,3.402108099121153167e-02
5.999999999999999778e-01,2.584857979292185082e+00,3.488421941539435189e-02
6.500000000000000222e-01,2.015803629850377199e+00,3.581765723192234518e-02
6.999999999999999556e-01,1.621941029221647623e+00,3.674386453815504244e-02
7.500000000000000000e-01,1.535510867711801009e+00,3.794850770484040070e-02
7.999999999999999334e-01,1.662849338288129530e+00,3.918212607801828395e-02
8.499999999999999778e-01,1.838945748954603943e+00,4.079927986813394053e-02
9.000000000000000222e-01,1.991432473895600630e+00,4.281967194174730179e-02
9.499999999999999556e-01,2.018863012692614145e+00,4.503108562786519581e-02
